Lat         Long
41.128.887	-72.659.012
41.091.337	-73.919.594
40.919.837	-73.146.268
40.784.001	-73.977.366
40.724.764	-73.992.623
40.734.012	-74.006.746
41.276.414	-73.122.642
39.314.554	-76.614.457
41.085.788	-7.442.599
41.172.017	-73.235.663
40.736.617	-73.992.722
40.143.297	-75.321.754
41.029.219	-73.768.341
41.407.304	-74.004.179
40.752.082	-73.984.684
34.044.836	-118.264.528
40.557.874	-74.293.788
40.588.061	-7.367.294
41.030.199	-73.766.667
34.066.723	-11.840.372
40.743.004	-74.005.889
41.046.071	-73.568.809
25.790.742	-80.128.832
40.724.836	-73.991.502
40.748.496	-73.990.583
40.723.287	-73.950.659
40.762.905	-7.397.749
40.776.553	-73.979.199
43.408.777	-74.871.618
40.715.777	-73.986.207
40.731.723	-73.989.825
40.671.137	-7.397.765
40.744.018	-74.006.139
41.140.683	-7.326.514
41.919.714	-739.523
33.815.703	-8.460.266
4.074.595	-73.050.473
40.784.991	-73.977.341
40.684.564	-73.992.073
40.679.051	-73.971.602
41.053.113	-73.525.484
41.359.189	-72.910.254
4.127.341	-72.957.439
41.484.771	-73.576.308
42.298.797	-71.372.546
40.764.628	-73.963.144
40.720.019	-73.845.058
40.877.851	-72.501.818
40.731.869	-73.445.465
40.760.131	-73.987.136
40.711.185	-73.950.034
41.210.832	-73.745.342
40.718.254	-73.957.537
40.768.279	-73.982.719
4.073.776	-74.008.023
40.779.315	-73.980.897
40.723.287	-73.950.659
40.921.848	-73.847.387
4.073.384	-74.005.153
40.665.858	-73.452.071
40.762.179	-73.972.645
40.764.509	-73.995.855
40.778.426	-7.398.079
40.756.209	-739.903
40.754.021	-73.949.297
40.723.707	-73.951.629
4.078.432	-73.977.683
40.769.224	-73.958.741
40.738.695	-73.993.811
40.749.892	-73.612.477
4.081.627	-73.476.647
40.764.628	-73.963.144
40.657.247	-73.645.858
27.076.501	-82.161.491
40.884.677	-73.899.703
42.956.507	-114.687.021
41.119.754	-74.014.281
40.680.095	-73.417.409
40.686.553	-73.994.037
40.955.311	-72.193.668
43.408.777	-74.871.618
40.757.579	-73.971.801
40.587.963	-73.728.528
40.769.224	-73.958.741
39.353.272	-74.445.436
25.797.735	-80.127.291
40.758.236	-73.978.833
40.732.464	-740.016
42.989.113	-7.879.811
40.691.497	-73.984.647
4.139.945	-73.443.511
41.141.267	-73.258.347
4.070.277	-73.981.293
40.745.175	-73.992.555
4.068.295	-739.708
40.803.369	-73.735.873
40.963.442	-73.705.863
4.076.438	-73.979.676
40.739.106	-7.400.179
40.723.098	-73.701.468
40.756.267	-73.971.442
40.723.009	-74.003.066
40.742.949	-73.982.059
40.739.485	-73.988.942
41.255.311	-73.218.328
41.473.623	-72.809.258
40.684.249	-73.950.209
40.765.823	-73.987.179
40.732.221	-73.445.996
40.727.094	-73.980.202
40.756.507	-73.992.488
40.752.095	-73.979.363
40.679.027	-73.922.258
40.734.012	-74.006.746
40.739.916	-73.989.952
40.749.886	-73.989.801
40.743.243	-73.990.866
40.743.323	-73.989.238
40.886.285	-7.238.979
41.033.041	-71.946.389
40.583.668	-73.939.797
4.071.977	-7.395.763
40.731.829	-73.989.181
38.296.711	-122.283.278
40.912.874	-73.896.466
40.771.182	-73.983.113
43.408.777	-74.871.618
39.349.795	-74.450.426
40.730.634	-74.001.073
4.079.112	-73.969.085
41.196.651	-73.654.353
40.723.995	-74.003.163
4.131.132	-72.931.995
41.270.843	-72.608.705
41.076.202	-7.348.008
29.735.022	-98.634.905
4.028.506	-73.984.277
40.951.176	-7.373.453
40.750.432	-73.978.591
40.731.199	-74.003.206
4.187.939	-87.633.083
40.653.485	-73.924.021
41.016.469	-73.807.437
40.717.436	-7.317.022
4.095.153	-73.735.925
21.291.829	-15.785.019
40.737.505	-73.999.622
40.793.957	-73.972.631
40.722.871	-7.398.295
40.738.377	-7.399.927
40.713.594	-7.400.812
40.660.396	-73.991.033
43.408.777	-74.871.618
40.716.887	-73.956.426
38.901.495	-77.011.364
40.760.246	-73.989.873
40.731.197	-73.091.734
2.634.765	-80.087.058
25.987.441	-80.125.771
40.672.506	-73.510.028
40.759.741	-73.986.186
40.759.256	-73.989.828
38.784.644	-77.016.576
43.408.777	-74.871.618
40.793.539	-73.970.979
40.749.004	-73.642.139
38.895.173	-77.022.206
40.632.589	-74.027.167
40.776.271	-73.956.521
40.673.458	-73.957.104
40.721.646	-73.988.724
41.140.617	-73.353.859
40.724.158	-73.951.293
37.772.729	-122.418.706
40.801.225	-73.948.203
40.715.294	-73.247.026
40.772.265	-72.985.177
40.749.892	-73.612.477
4.036.762	-74.946.446
41.033.197	-71.941.515
40.905.957	-73.127.374
13.481	144.732
40.698.492	-73.986.565
40.743.885	-73.999.124
41.502.681	-73.424.377
40.988.682	-73.789.203
40.735.372	-73.955.387
40.724.267	-74.004.741
40.717.034	-73.959.942
40.691.706	-73.984.692
43.408.777	-74.871.618
40.699.993	-74.066.825
40.720.961	-73.995.953
40.300.565	-73.981.295
40.762.912	-73.977.422
40.761.681	-73.985.175
40.667.798	-739.805
41.883.526	-87.628.262
40.734.012	-74.006.746
41.026.643	-73.628.094
41.043.434	-73.768.717
40.759.256	-73.989.828
40.710.006	-74.008.665
40.758.504	-7.398.322
40.755.131	-73.981.025
4.076.251	-7.397.635
41.158.866	-73.875.037
43.408.777	-74.871.618
40.910.162	-72.354.107
40.710.018	-74.007.128
40.713.962	-73.944.454
40.715.727	-74.008.701
40.761.612	-73.985.915
40.714.618	-74.015.376
39.657.108	-79.124.916
40.809.962	-74.135.721
40.739.685	-73.995.807
40.762.517	-73.975.676
40.755.603	-73.978.559
38.251.821	-85.757.707
40.723.026	-73.995.694
40.733.503	-73.999.072
33.801.926	-116.527.567
40.768.182	-73.985.745
40.717.436	-7.317.022
40.721.271	-73.988.509
36.070.011	-79.120.326
40.737.061	-74.001.559
4.071.883	-7.395.865
33.683.879	-117.854.699
41.267.448	-74.364.011
40.743.696	-7.398.469
40.764.417	-73.981.694
40.838.502	-73.941.305
41.011.832	-73.879.007
40.965.474	-74.228.039
3.406.612	-118.459.929
40.710.452	-73.959.683
40.721.882	-73.958.073
40.744.303	-73.983.933
40.730.799	-74.004.214
40.714.399	-73.981.821
4.234.968	-7.104.281
40.875.456	-7.415.359
40.808.766	-7.394.509
40.755.976	-73.991.994
40.727.313	-73.982.761
40.762.776	-73.993.397
40.762.657	-73.989.156
40.214.315	-7.401.362
40.883.406	-72.501.469
40.829.478	-72.736.273
4.097.289	-73.960.315
40.884.935	-733.599
40.745.718	-74.005.459
40.679.027	-73.922.258
40.726.931	-73.993.187
40.677.382	-73.972.835
4.110.403	-72.371.541
40.750.634	-73.997.176
43.408.777	-74.871.618
4.072.659	-73.936.082
41.884.641	-87.657.242
42.113.896	-72.743.785
40.772.114	-73.965.006
4.022.289	-74.269.998
37.711.503	-12.244.075
40.861.999	-74.077.715
40.723.287	-73.950.659
4.066.272	-73.528.603
40.742.042	-74.000.622
4.068.343	-7.444.265
25.764.953	-80.193.706
40.722.844	-73.342.992
41.041.555	-71.960.234
40.752.079	-73.991.912
40.716.044	-74.009.983
40.712.752	-73.957.084
40.719.747	-73.962.511
41.015.857	-73.677.404
40.684.091	-74.002.553
4.161.041	-9.373.249
40.752.327	-73.984.779
39.899.245	-82.531.443
43.522.519	-71.454.969
